CONTEXT,ID,TEXT
AccessPermitInner,ARSTOTZKA,阿什托兹卡
AccessPermitInner,Access Permit,访问许可
AccessPermitInner,This permit grants conditional access to the sovereign nation of Arstotzka,该许可可以给您阿什托兹卡主权国的有限访问权。
AccessPermitInner,NAME,名字
AccessPermitInner,NATIONALITY,国籍
AccessPermitInner,PURPOSE,目的
AccessPermitInner,HEIGHT,身高
AccessPermitInner,PHYSICAL APPEARANCE,外貌
AccessPermitInner,ID NUMBER,护照号码
AccessPermitInner,DURATION,滞留时间
AccessPermitInner,WEIGHT,体重
AccessPermitInner,ENTER BY,入关时间
AccessPermitInner,Keep on person,随身携带
AccessPermitInner,Ministry of Admission,入境管理部
AsylumGrantInner,Arstotzka,阿什托兹卡
AsylumGrantInner,GRANT of ASYLUM,避难许可
AsylumGrantInner,This document grants conditional asylum status within Arstotzkan borders,该文件可以让您在阿什托兹卡境内进行有条件的政治避难。
AsylumGrantInner,NAT,国籍
AsylumGrantInner,ID#,护照号码
AsylumGrantInner,DOB,出生日期
AsylumGrantInner,HT,身高
AsylumGrantInner,WT,体重
AsylumGrantInner,Offer expires after,有效期至
AsylumGrantInner,Ministry of Admission,入境管理部
BizCardInnerFront,ENGINEERING,工程
BizCardInnerFront,Director,主任
BizCardInnerBack,WE NEED ENGINEERS,我们需要工程师
BizCardInnerBack,WILL BEAT .GOV PAY,将会超出政府薪资
BizCardInnerBack,CONTACT NOW,立刻联系我们
BrothelHelpInner,A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.,一个名叫<span>Dari Ludum</span>的人向我和我妹妹保证说可以在阿什托兹卡给我们找一份好工作。
BrothelHelpInner,I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.,我不相信他。我害怕他会扣下我的护照，并强迫我去卖淫。他今天就在队伍中。
BrothelHelpInner,Please do something.,请做点什么。
BulletinInnerDiploTut,Diplomat,外交
BulletinInnerDiploTut,Verification Procedure,认证程序
BulletinInnerDiploTut,Verify issuing country,验证发放国家
BulletinInnerDiploTut,Verify identity,验证身份
BulletinInnerDiploTut,Verify diplomatic access to Arstotzka,验证阿什托兹卡外交访问权
BulletinInnerMissingTut,Missing documents can be correlated by highlighting counter and pertinent entry in rule book.,未出示的文件可以通过检查模式来和职务手册里的相关条款关联。
BulletinInnerRuleTut,Correlate pertinent entry in rule book with violating information to enable further options.,将违规信息和相关条目关联来开启更多的选项。
BulletinInnerContraTut,Correlate discovered weapons and contraband with rulebook entry.,将发现的武器和违禁品和指南条目关联。
BulletinInnerCorrelateTut,Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.,从检查模式标记显示两条不一致的信息来开启审问。
BulletinInnerPassportTut,Pay attention to passport nationality.,请注意护照上的国籍。
BulletinInnerBoothTut,Arstotzkan<br>Ministry of Admission,阿什托兹卡<br>入境管理部
BulletinInnerBoothTut,Inspector's Booth,边检站
BulletinInnerBoothTut,Shutter,百叶窗
BulletinInnerBoothTut,Counter,柜台
BulletinInnerBoothTut,Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date,指南<br>音频副本<br>公告存储<br>时间&amp;日期
BulletinInnerGunTut,Weapons Protocol,武器规则
BulletinInnerGunTut,WHEN ALARM SOUNDS,何时发出警报
BulletinInnerGunTut,Drop key on tumbler to unlock weapon.,将钥匙插入锁芯来解锁武器。
BulletinInnerGunTut,"Select gun, aim and fire.",选择一把枪，瞄准并开火。
BulletinInnerGunTut,Time is short. Act fast.,没有多少时间，所以请尽快行动。
BulletinInnerFilerTut,Passport Confiscation,护照没收
BulletinInnerFilerTut,Verify ALTAN resident on id.,从身份证上验证奥坦居住地
BulletinInnerFilerTut,Drop passport in confiscation drawer.,将护照放入没收抽屉中。
BulletinInnerFilerTut,"If arresting, confiscate before detaining.",如果要逮捕他，请在被关押前没收。
BulletinInnerCriminals,Ministry of Justice,司法部
BulletinInnerCriminals,WANTED CRIMINALS,通缉犯
BulletinInnerNews,NEWS,新闻
BulletinPagesNote,CHECK ALL<br>PAGES,查看所有<br>页面
CitationInner,M.O.A. CITATION,入境管理部警告
DiplomaticAuthInner,Diplomatic<br>Authorization,外交<br>许可
DiplomaticAuthInner,This document authorizes named agent as a diplomatic entity of a Council of Nations member state.,该文件授权某个实名代理人作为多国议会成员国的外交人员。
DiplomaticAuthInner,AGENT,代理人
DiplomaticAuthInner,PASSPORT,护照征用
DiplomaticAuthInner,Unconditional access to all named Council of Nations member states must be granted upon presentation.,必须在做报告时才能授权对所有多国议会成员国的无条件进入许可。
DiplomaticAuthInner,This document has no expiry.,该文件永不过期
DiplomaticAuthInner,COUNCIL OF NATIONS - SEVEN MEMBER FORUM,国家议会——七成员论坛
EntryPermitInner,ARSTOTZKA,阿什托兹卡
EntryPermitInner,Entry Permit,入境许可
EntryPermitInner,Conditional entry to the sovereign nation of Arstotzka is hereby granted to,有条件进入阿什托兹卡主权国的许可被颁发给
EntryPermitInner,bearing passport number,护照号码
EntryPermitInner,Purpose,目的
EntryPermitInner,Duration,滞留时间
EntryPermitInner,Enter by,入关时间
EntryPermitInner,Ministry of Admission,入境管理部
EntryTicketInner,Arstotzka,阿什托兹卡
EntryTicketInner,ENTRY TICKET,准入券
EntryTicketInner,VALID ON,有效期
EzicNoteInnerOpen,READ QUICKLY,快速阅读
EzicNoteInnerOpen,RETURN TO MESSENGER,返还信使
FamilyPhotoInner,HANG ON WALL,挂在墙上
FingerprintsInner,GIVE THIS PAPER TO APPLICANT,将这份文件交给申请人
ForgeryFlyerInnerFront,NEED FORGED<br>OBRISTAN DOCS?,需要伪造的<br>欧布里斯坦证件？
ForgeryFlyerInnerFront,"""It looks so real!""","""简直可以以假乱真了！"""
ForgeryFlyerInnerFront,"""Approved for entry!""","""被允许入境！"""
ForgeryFlyerInnerFront,Fair rates!,价格公道！
ForgeryFlyerInnerFront,No questions asked!,不会多嘴！
ForgeryFlyerInnerFront,Fast turnaround!,快速回程！
ForgeryFlyerInnerFront,CONDITIONS ON BACK,条件写在背后
ForgeryFlyerInnerBack,PRICING (EACH),价格（每个）
ForgeryFlyerInnerBack,Passport *,护照*
ForgeryFlyerInnerBack,Entry Ticket,准入券
ForgeryFlyerInnerBack,*<br>,*<br>
ForgeryFlyerInnerBack,Client must provide existing Obristan passport to be modified with new info,客户必须提供已有的欧布里斯坦护照才能修改成新的信息
ForgeryFlyerInnerBack,Service at border Arstotzka/Obristan,服务机构位于阿什托兹卡/欧布里斯坦边境
ForgeryFlyerInnerBack,Ask for Timofei Wee,提莫菲·维
GymFlyerInner,Underweight?Weak?Tired?,体重过低？弱小？劳累？
GymFlyerInner,JOIN BEST GYM!,加入最佳体育馆吧！
GymFlyerInner,GET BIG TOWN,来大城市吧
GymFlyerInner,East Grestin,东格莱斯丁
HintMissingInner,THIS ENTRANT HAS NO DOCUMENTS,该入境人员没有任何文件
HintMissingInner,"To proceed, use INSPECT mode to interrogate.",请使用检查模式进行审问后继续。
HintMissingInner,Review page 2 of today's bulletin for full instructions.,再次查看今日公告第二页的完整说明。
IdCardInner,ARSTOTZKA IDENTITY CARD,阿什托兹卡身份证
IdCardInner,DOB,出生日期
IdCardInner,HT.,身高
IdCardInner,WT.,体重
IdentityRecordInner,M.O.A. IDENTITY RECORD,入境管理部身份记录
IdentityRecordInner,NAME:,名字：
IdentityRecordInner,ALIAS:,曾用名：
IdentityRecordInner,Applicant's fingerprints and claimed name/alias must match this record.,申请人的指纹和名字/曾用名必须符合该记录。
IdSupplementInner,IDENTITY<br>SUPPLEMENT,身份<br>补充
IdSupplementInner,HT,身高
IdSupplementInner,WT,体重
IdSupplementInner,DESCRIPTION,描述
IdSupplementInner,THUMB,大拇指
IdSupplementInner,Keep on person,带在身上
IdSupplementInner,EXP.,过期日
